GroupVariation,Index,Description,Field
Group1Var1,0,Binary Input - Packed Format,GPI0Tamper
Group1Var1,1,Binary Input - Packed Format,GPI1Vibration
Group1Var1,2,Binary Input - Packed Format,GPI2SupplyPresent
Group1Var1,3,Binary Input - Packed Format,GPI3
Group1Var1,4,Binary Input - Packed Format,GPI4
Group1Var1,5,Binary Input - Packed Format,GPI5
Group1Var1,6,Binary Input - Packed Format,GPI6GPSLock
Group1Var1,7,Binary Input - Packed Format, GPI7AngleError
Group1Var2,0,Binary Input Event - With time,GPI0Tamper
Group1Var2,1,Binary Input Event - With time,GPI1Vibration
Group1Var2,2,Binary Input Event - With time,GPI2SupplyPresent
Group1Var2,3,Binary Input Event - With time,GPI3
Group1Var2,4,Binary Input Event - With time,GPI4
Group1Var2,5,Binary Input Event - With time,GPI5
Group1Var2,6,Binary Input Event - With time,GPI6GPSLock
Group1Var2,7,Binary Input Event - With time, GPI7AngleError
Group2Var2,0,Binary Input Event - Absolute Time,GPI0TamperEvent
Group2Var2,1,Binary Input Event - Absolute Time,GPI1VibrationEvent
Group2Var2,2,Binary Input Event - Absolute Time,GPI2SupplyPresentEvent
Group2Var2,3,Binary Input Event - Absolute Time,GPI3Event
Group2Var2,4,Binary Input Event - Absolute Time,GPI4Event
Group2Var2,5,Binary Input Event - Absolute Time,GPI5Event
Group2Var2,6,Binary Input Event - Absolute Time,GPI6GPSLockEvent
Group2Var2,7,Binary Input Event - Absolute Time,GPI7AngleErrorEvent
Group10Var2,0,Binary Output - Output status with flags,GPO1
Group10Var2,1,Binary Output - Output status with flags,GPO2
Group11Var2,0,Binary Output - Output status with flags,GPO1
Group11Var2,1,Binary Output - Output status with flags,GPO2
Group13Var2,0,Binary Output - Output status with flags,GPO1
Group13Var2,1,Binary Output - Output status with flags,GPO2
Group20Var5,0,Counter - 32-bit without flag,kWhCounter
Group21Var5,0,Counter - 32-bit,kWhCounter
Group22Var5,0,Counter - 32-bit,kWhCounter
Group23Var5,0,Counter - 32-bit,kWhCounter
Group20Var5,1,Counter - 32-bit without flag,counter1
Group20Var5,2,Counter - 32-bit without flag,counter2
Group21Var5,1,Counter - 32-bit without flag,counter1
Group21Var5,2,Counter - 32-bit without flag,counter2
Group22Var5,1,Counter - 32-bit without flag,counter1
Group22Var5,2,Counter - 32-bit without flag,counter2
Group23Var5,1,Counter - 32-bit without flag,counter1
